Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S132391308,Canada Goose,Branta canadensis,342,8,US-CO,Adams,L1818121,Rocky Mountain Arsenal NWR--Lake Ladora,39.8170715,-104.8569235,2023-04-01,09:54 AM,eBird - Traveling Count,85,1,5.086,,1
S143583960,Canada Goose,Branta canadensis,342,42,US-CO,Adams,L1818121,Rocky Mountain Arsenal NWR--Lake Ladora,39.8170715,-104.8569235,2023-07-04,08:02 AM,eBird - Traveling Count,104,1,5.166,,1
S146180431,Canada Goose,Branta canadensis,342,22,US-CO,Adams,L1818121,Rocky Mountain Arsenal NWR--Lake Ladora,39.8170715,-104.8569235,2023-08-01,06:18 AM,eBird - Traveling Count,95,1,3.943,,1
S161215545,Canada Goose,Branta canadensis,342,31,US-CO,Adams,L1818121,Rocky Mountain Arsenal NWR--Lake Ladora,39.8170715,-104.8569235,2024-02-11,08:25 AM,eBird - Casual Observation,,0,,,1
S161314344,Canada Goose,Branta canadensis,342,20,US-CO,Adams,L1818121,Rocky Mountain Arsenal NWR--Lake Ladora,39.8170715,-104.8569235,2024-02-12,07:19 AM,eBird - Traveling Count,26,1,1.271,,1
S170736295,Canada Goose,Branta canadensis,342,12,US-CO,Adams,L1818121,Rocky Mountain Arsenal NWR--Lake Ladora,39.8170715,-104.8569235,2024-04-28,07:30 AM,eBird - Traveling Count,92,1,.446,,1
S180704140,Canada Goose,Branta canadensis,342,23,US-CO,Adams,L1818121,Rocky Mountain Arsenal NWR--Lake Ladora,39.8170715,-104.8569235,2024-06-10,06:27 PM,eBird - Traveling Count,68,1,1.01,,1,,"20 adults, 3 goslings"
S183599720,Canada Goose,Branta canadensis,342,17,US-CO,Adams,L1818121,Rocky Mountain Arsenal NWR--Lake Ladora,39.8170715,-104.8569235,2024-06-24,06:50 PM,eBird - Traveling Count,42,1,.742,,1
S189080696,Canada Goose,Branta canadensis,342,7,US-CO,Adams,L1818121,Rocky Mountain Arsenal NWR--Lake Ladora,39.8170715,-104.8569235,2024-07-27,08:42 AM,eBird - Traveling Count,60,1,3.267,,1
S160503957,Canada Goose,Branta canadensis,342,24,US-CO,Adams,L9034845,Rocky Mountain Arsenal NWR--Wildlife Drive,39.8537552,-104.8238524,2024-02-03,08:11 AM,eBird - Traveling Count,45,1,7.578,,1,F Flyover
S160618097,Canada Goose,Branta canadensis,342,250,US-CO,Adams,L235257,South Platte River--88th Ave area,39.8554118,-104.9389314,2024-02-04,07:44 AM,eBird - Traveling Count,94,1,1.521,,1
S197086547,Canada Goose,Branta canadensis,342,14,US-CO,Adams,L235257,South Platte River--88th Ave area,39.8554118,-104.9389314,2024-09-30,04:55 PM,eBird - Traveling Count,53,1,2.639,,1
S184866589,Canada Goose,Branta canadensis,342,23,US-CO,Adams,L628231,South Platte River--E 78th Ave,39.8380352,-104.9493885,2024-07-01,08:03 PM,eBird - Traveling Count,48,1,1.819,,1
S196392006,Canada Goose,Branta canadensis,342,6,US-CO,Adams,L342119,South Platte River--McKay Rd & 100th area,39.874702,-104.913758,2024-09-24,05:36 PM,eBird - Traveling Count,69,1,.952,,1
S195858764,Canada Goose,Branta canadensis,342,15,US-CA,Alameda,L677049,Rotary Nature Center,37.8071944,-122.2559479,2024-09-20,05:59 PM,eBird - Traveling Count,65,1,.435,,1
S132495135,Canada Goose,Branta canadensis,342,4,US-CO,Arapahoe,L18088860,Aurora Reservoir--West Side,39.6110609,-104.6753633,2023-04-02,08:44 AM,eBird - Traveling Count,129,1,2.542,,1
S148765745,Canada Goose,Branta canadensis,342,15,US-CO,Arapahoe,L270642,Centennial Park (Arapahoe Co),39.6328644,-105.0194932,2023-09-02,07:02 AM,eBird - Traveling Count,34,1,1.819,,1
S178900650,Canada Goose,Branta canadensis,342,40,US-CO,Arapahoe,L270642,Centennial Park (Arapahoe Co),39.6328644,-105.0194932,2024-06-02,08:13 AM,eBird - Traveling Count,43,1,1.336,,1
S123834768,Canada Goose,Branta canadensis,342,57,US-CO,Arapahoe,L140473,Cherry Creek SP,39.6402646,-104.8538589,2022-12-11,03:06 PM,eBird - Traveling Count,90,1,3.782,,1
S123951817,Canada Goose,Branta canadensis,342,400,US-CO,Arapahoe,L140473,Cherry Creek SP,39.6402646,-104.8538589,2022-12-14,07:47 AM,eBird - Traveling Count,60,1,6.389,,1
S127139129,Canada Goose,Branta canadensis,342,4,US-CO,Arapahoe,L140473,Cherry Creek SP,39.6402646,-104.8538589,2023-01-28,04:33 PM,eBird - Traveling Count,32,1,3.782,,1
S127910098,Canada Goose,Branta canadensis,342,X,US-CO,Arapahoe,L140473,Cherry Creek SP,39.6402646,-104.8538589,2023-02-08,05:26 PM,eBird - Traveling Count,33,1,5.214,,1
S128250083,Canada Goose,Branta canadensis,342,X,US-CO,Arapahoe,L140473,Cherry Creek SP,39.6402646,-104.8538589,2023-02-13,07:17 AM,eBird - Traveling Count,60,1,7.838,,1
S129047128,Canada Goose,Branta canadensis,342,X,US-CO,Arapahoe,L140473,Cherry Creek SP,39.6402646,-104.8538589,2023-02-19,05:22 PM,eBird - Traveling Count,30,1,4.522,,1
S153370365,Canada Goose,Branta canadensis,342,4,US-CO,Arapahoe,L140473,Cherry Creek SP,39.6402646,-104.8538589,2023-10-29,06:31 PM,eBird - Traveling Count,11,1,2.956,,1
S139295995,Canada Goose,Branta canadensis,342,1,US-CO,Arapahoe,L5383864,Cherry Creek SP--Butterfly Hill area,39.6292054,-104.8624568,2023-05-26,07:16 AM,eBird - Traveling Count,45,1,.395,,1
