









Frequency of observations in the selected location(s).:
Number of taxa: 	476

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Great Black-backed Gull	0.0832469	0.0938846	0.0872663	0.0893934	0.1062076	0.0656195	0.0499076	0.1003387	0.0724693	0.0619973	0.0438348	0.0372793	0.0251319	0.0283166	0.0153809	0.0099709	0.0097309	0.0060241	0.0091982	0.0102238	0.007079	0.0063366	0.0036946	0.0035676	0.0053452	0.0100636	0.0126263	0.0143286	0.0205643	0.0211538	0.0389549	0.0426511	0.0454366	0.0509205	0.0353833	0.0377294	0.0354281	0.0362444	0.0280374	0.0286899	0.033381	0.0400566	0.0443996	0.0585652	0.0596252	0.0639244	0.0697091	0.0759637	
American Herring x Great Black-backed Gull (hybrid)	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Glaucous Gull	0.00389	0.0064599	0.0057881	0.0102873	0.0155189	0.0111693	0.0073937	0.0165114	0.0072853	0.0043566	0.0034689	0.0061042	0.0037698	0.0044593	0.0026855	6.136E-4	4.561E-4	0.0	0.0	1.929E-4	3.726E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.425E-4	0.0010091	0.0025622	0.0034072	0.0016676	0.004012	0.0042517	
American Herring x Glaucous Gull (hybrid)	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.18E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Lesser Black-backed Gull	0.0088174	0.0043066	0.0048976	0.0074495	0.0130941	0.0076789	0.0034915	0.0076207	0.0065184	0.0050268	0.0028382	0.0058862	0.0035185	0.0044593	0.0019531	0.0010738	7.602E-4	3.012E-4	5.999E-4	1.929E-4	0.0	0.0	0.0	3.568E-4	0.0	5.297E-4	5.051E-4	0.0	9.565E-4	9.615E-4	0.0042755	0.0052163	0.0015804	0.0082256	0.0029486	0.0027192	0.0029523	0.0034518	0.0034432	0.0051849	0.0047687	0.0042413	0.006559	0.0080527	0.0073822	0.0061145	0.0095286	0.0087868	
Slaty-backed Gull	0.0	0.0	0.0	0.0	0.0	0.0010471	4.108E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Iceland Gull	0.0088174	0.0055986	0.0071238	0.00674	0.0106693	0.0118674	0.006983	0.0063506	0.0049847	0.0033512	0.0040997	0.0054502	0.0040211	0.0022297	0.0021973	6.136E-4	4.561E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.425E-4	0.0015136	0.0018302	0.0022714	5.559E-4	0.0025075	0.0039683	
American Herring/Iceland Gull	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
white-winged gull sp.	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.513E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	
Larus sp.	0.0012967	8.613E-4	0.0022262	0.0014189	0.0033948	0.0017452	4.108E-4	4.234E-4	0.0011503	3.351E-4	6.307E-4	4.36E-4	0.0015079	4.459E-4	0.0	3.068E-4	6.082E-4	0.0015	0.0	0.0	0.0011177	0.0	0.0	3.568E-4	0.0	5.297E-4	0.0010101	0.0016661	4.782E-4	4.808E-4	0.0015	3.068E-4	0.0023706	0.0019585	0.0	3.399E-4	4.218E-4	6.904E-4	4.919E-4	0.0038023	4.769E-4	0.0014138	5.045E-4	7.321E-4	0.0022714	0.0011117	0.002006	2.834E-4	
gull sp.	0.0163382	0.0155039	0.0146928	0.018801	0.0169738	0.0143106	0.0149928	0.022862	0.0195552	0.0204424	0.0208136	0.0213647	0.0218648	0.0169454	0.0192871	0.0145728	0.0112513	0.0118976	0.0117976	0.0127315	0.0089419	0.0110891	0.0094417	0.0103461	0.0084633	0.0095339	0.0080808	0.0069977	0.0052606	0.0072115	0.0090261	0.0085916	0.0094824	0.0086173	0.0088458	0.0081577	0.0130747	0.0151881	0.0191835	0.0079502	0.0114449	0.0113101	0.0090817	0.0076867	0.0107893	0.0166759	0.0125376	0.0181406	
Least Tern	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Caspian Tern	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012566	0.0352285	0.0969238	0.1343764	0.1292383	0.0959337	0.1071786	0.0916281	0.0871833	0.0768317	0.0734811	0.0806279	0.0841871	0.1117585	0.1222222	0.140953	0.1630799	0.1774038	0.1800475	0.1761276	0.1679178	0.11085	0.0602359	0.0159755	0.0050612	0.0024163	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	
Black Tern	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.534E-4	3.041E-4	0.0012048	5.999E-4	0.0011574	0.0015	7.921E-4	4.105E-4	0.0010703	0.0	5.297E-4	0.0015	0.0	9.565E-4	0.0	9.501E-4	0.0036821	0.0063216	0.0054837	8.425E-4	0.0081577	0.0037959	0.0051778	9.838E-4	0.0	0.0	0.0	0.0	0.0	5.679E-4	0.0	0.0	0.0	
Forster's Tern	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.513E-4	0.0015608	4.883E-4	1.534E-4	3.041E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	4.751E-4	0.0015	0.0031608	0.0054837	0.0029486	0.003739	4.218E-4	0.0034518	0.0068864	0.0069132	0.0076299	0.0	5.045E-4	0.0	0.0	0.0	0.0	0.0	
Arctic Tern	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	
Common Tern	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.18E-4	0.0052777	0.064437	0.0925293	0.1020095	0.0915311	0.0831325	0.0929814	0.0831404	0.0819672	0.0712871	0.070197	0.0799144	0.1175947	0.1085805	0.090404	0.0843052	0.0712578	0.0649038	0.0470309	0.0411169	0.0335836	0.0274187	0.005476	0.0190347	0.0118094	0.0234726	0.0403345	0.0293813	0.0324273	0.0127238	0.0126135	0.0095168	0.0	0.0	0.0	0.0	
Forster's/Common Tern	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.766E-4	1.534E-4	1.52E-4	0.0	3.999E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.137E-4	0.0	0.0019585	0.0	0.0010197	0.0	3.452E-4	4.919E-4	3.457E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Sterna sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.012E-4	2.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.917E-4	0.0	0.0	0.0	0.0	9.838E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Elegant Tern	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0055499	0.0084187	0.0	0.0	0.0	0.0	
tern sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.18E-4	0.0	2.23E-4	4.883E-4	7.67E-4	4.561E-4	9.036E-4	0.0	0.0	3.726E-4	0.0	4.105E-4	0.0	4.454E-4	0.0	0.0	6.664E-4	0.0015	0.0014423	4.751E-4	0.0015342	0.0011853	0.0015668	8.425E-4	0.0010197	0.0	6.904E-4	9.838E-4	3.457E-4	4.769E-4	4.713E-4	0.0	0.0	0.0	0.0	0.0	0.0	
Pied-billed Grebe	0.0012967	0.003876	0.0026714	0.0010642	0.0019399	0.0013962	2.054E-4	0.0	0.0015337	0.0056971	0.0450962	0.0797907	0.1133451	0.1054627	0.1047363	0.0605921	0.030409	0.0128012	0.0067986	0.0084877	0.0074516	0.0130693	0.0065681	0.0046379	0.0044543	0.0047669	0.0045455	0.0043319	0.0086083	0.0125	0.0085511	0.0171832	0.0308179	0.0411281	0.0459141	0.046567	0.0459722	0.0507421	0.0565667	0.0508123	0.0510253	0.0362865	0.030777	0.0296486	0.0113572	0.0055586	0.0055165	0.005102	
Horned Grebe	0.0176349	0.0094746	0.0040071	0.0056758	4.85E-4	3.49E-4	8.215E-4	0.0063506	0.0046012	0.0087131	0.0274361	0.0479616	0.0648404	0.0717949	0.0625	0.0312931	0.0171811	0.0013554	0.0015	1.929E-4	0.0	0.0	0.0	0.0	8.909E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.951E-4	0.0015	4.212E-4	0.0010197	0.0012653	0.0058681	0.0118052	0.0186657	0.0281354	0.0395853	0.0534813	0.0541728	0.0437252	0.0444691	0.0336008	0.0320295	
Red-necked Grebe	0.002334	0.001292	0.0	0.0031926	0.0014549	0.0010471	0.0	0.0	3.834E-4	0.0030161	3.154E-4	0.0015261	0.0022619	0.0042363	0.0029297	7.67E-4	0.0	4.518E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.212E-4	0.0	8.435E-4	6.904E-4	0.0054107	0.001037	0.0047687	9.425E-4	0.0090817	0.0054905	0.0045429	0.0050028	0.004012	0.0028345	
Eared Grebe	2.593E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.689E-4	2.441E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02306	0.0028393	0.0	0.0	8.503E-4	
Horned/Eared Grebe	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.559E-4	0.0	0.0	
grebe sp.	2.593E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.218E-4	0.0	0.0	0.0	0.0	4.713E-4	5.045E-4	0.0	0.0	0.0	0.0	0.0	
Red-throated Loon	0.0	4.307E-4	0.0015	3.547E-4	0.0019399	3.49E-4	2.054E-4	8.467E-4	0.0015337	0.0063673	0.0040997	0.0030521	0.0015079	0.0020067	0.0019531	0.0015	7.602E-4	0.0013554	5.999E-4	0.0013503	0.0014903	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.218E-4	0.0	0.0019675	6.913E-4	0.0019075	0.0023563	0.0020182	0.0032943	5.679E-4	0.0022235	0.001003	0.0014172	
Pacific Loon	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.66E-4	0.0	0.0	0.0	0.0	
Common Loon	0.0101141	0.0099053	0.0044524	0.0017737	0.0019399	0.0020942	8.215E-4	0.0016935	0.0023006	6.702E-4	0.0069379	0.0231088	0.0540337	0.090078	0.1049805	0.0644271	0.0246313	0.0123494	0.005199	0.0046296	0.0029806	0.0039604	0.0020525	0.0028541	0.0	0.0015	0.0	9.997E-4	9.565E-4	0.0014423	4.751E-4	0.0	0.0015804	0.0035253	0.0012637	0.0013596	0.0067482	0.0100104	0.0157403	0.0159004	0.0233667	0.0240339	0.0348133	0.0234261	0.0278251	0.0161201	0.0045135	0.005102	
loon sp.	0.0	4.307E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.534E-4	1.52E-4	0.0	2.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.457E-4	9.537E-4	4.713E-4	5.045E-4	0.0014641	0.0	0.0	0.0	5.669E-4	
Wilson's Storm-Petrel	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Black-capped Petrel	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Wood Stork	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.534E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Northern Gannet	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	
Brown Booby	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0021088	0.0165689	0.004427	3.457E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Great Cormorant	0.0	0.0	0.0	0.0	0.0082444	0.0041885	0.0020538	0.0038103	0.002684	0.0013405	6.307E-4	4.36E-4	2.513E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Double-crested Cormorant	0.0290456	0.0348837	0.0218166	0.024122	0.0261882	0.0146597	0.0133498	0.0169348	0.0161043	0.0264745	0.0365815	0.0865489	0.1673787	0.2231884	0.2094727	0.1839239	0.1456591	0.1159639	0.1163767	0.0939429	0.0774963	0.0708911	0.0640394	0.0692116	0.098441	0.1016949	0.0974747	0.1119627	0.1339072	0.1581731	0.1971496	0.2332004	0.2552351	0.2318841	0.1874473	0.1879674	0.1948545	0.2126338	0.2011805	0.1679917	0.1621364	0.1578699	0.1251261	0.1328697	0.0965361	0.0628127	0.0461384	0.0371315	
Neotropic Cormorant	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0206664	0.00932	0.0049188	0.0017283	9.537E-4	4.713E-4	0.0	0.0	0.0	0.0	0.0	0.0	
Double-crested/Neotropic Cormorant	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.297E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
cormorant sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.351E-4	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	2.0E-4	0.0	0.0	0.0	0.0	0.0	4.454E-4	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
White Ibis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0020202	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Glossy Ibis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.068E-4	0.0	0.0	0.0	0.0	0.0	0.0015	4.919E-4	0.0165918	0.0066762	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Roseate Spoonbill	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0287879	0.0353216	0.0157819	0.0076923	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
American Bittern	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.36E-4	0.0025132	0.0022297	0.0080566	0.0158	0.0079063	0.0060241	0.0015997	0.0023148	0.0011177	0.0019802	8.21E-4	3.568E-4	0.0017817	5.297E-4	0.0010101	0.0013329	0.0033477	9.615E-4	0.0019002	0.0015342	0.0023706	0.0027419	0.0021061	0.0013596	0.0016871	0.0017259	4.919E-4	0.0	4.769E-4	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	
Least Bittern	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.324E-4	0.0053689	0.0048654	0.0048193	0.0115977	0.0100309	0.009687	0.0106931	0.0114943	0.0117731	0.0089087	0.0068856	0.0080808	0.0099967	0.013869	0.0076923	0.0099762	0.015649	0.0134334	0.0062671	0.0096883	0.0016995	4.218E-4	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Yellow-crowned Night Heron	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0015	0.0	0.0	0.0015	3.96E-4	0.0032841	0.0	0.0	0.0	0.0	0.0109963	4.782E-4	0.0019231	4.751E-4	3.068E-4	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Black-crowned Night Heron	0.0020747	0.0017227	0.0017809	0.0074495	0.0033948	0.0024433	0.0012323	0.0016935	0.0019172	6.702E-4	0.0022075	0.0043601	0.0052777	0.0118172	0.0163574	0.0239301	0.030257	0.0268072	0.0307938	0.033179	0.0305514	0.0324752	0.0270936	0.0271138	0.0222717	0.0323093	0.0328283	0.0266578	0.0368245	0.04375	0.0394299	0.0444922	0.0466219	0.048962	0.0290649	0.0268525	0.0164488	0.0096652	0.0063945	0.0034566	0.003815	0.001885	0.0040363	0.0036603	0.003975	0.0038911	0.0035105	0.0036848	
Little Blue Heron	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.883E-4	0.0	0.0	0.0	0.0	1.929E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	4.808E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Tricolored Heron	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0015	0.0015	0.0015	0.0015	0.0	0.0	0.0	5.297E-4	0.0	0.0	0.0	0.0	0.0114014	0.0205585	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Snowy Egret	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.23E-4	0.0	0.0	0.0015	3.012E-4	2.0E-4	5.787E-4	0.0	0.0	4.105E-4	0.0	0.0	5.297E-4	0.0	0.0	0.0	0.0	0.0	0.0	3.951E-4	3.917E-4	0.0021061	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Green Heron	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0013378	0.0124512	0.0349747	0.0732857	0.0662651	0.0787842	0.0686728	0.0592399	0.0716832	0.070197	0.0706386	0.0699332	0.0863347	0.0888889	0.1016328	0.1257771	0.1471154	0.1311164	0.1574102	0.1371	0.1143752	0.0914069	0.0503059	0.0194011	0.0086296	0.0024594	6.913E-4	4.769E-4	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	
Western Cattle-Egret	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.435E-4	0.0	0.0	0.0062219	9.537E-4	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	
Great Egret	2.593E-4	0.0017227	0.0022262	0.0	0.0	0.0	0.0	0.0	0.0	6.702E-4	0.0040997	0.0196207	0.0427243	0.0510591	0.0456543	0.0596717	0.0729816	0.0975904	0.1165767	0.1091821	0.1073025	0.110495	0.0997537	0.1077417	0.118931	0.1382415	0.1292929	0.1299567	0.1133429	0.1192308	0.1130641	0.1129181	0.1145792	0.0916569	0.0850885	0.082257	0.0738085	0.0552295	0.0300049	0.0252333	9.537E-4	0.0014138	0.0	0.0014641	0.0	0.0	0.0	2.834E-4	
Great Blue Heron	0.0158195	0.0180879	0.0235975	0.0173821	0.0242483	0.0209424	0.0178681	0.0215919	0.0310583	0.0449062	0.0674866	0.1148899	0.1349585	0.1371237	0.1520996	0.1816229	0.2292839	0.2441265	0.2587483	0.2175926	0.2179583	0.2071287	0.1855501	0.1805209	0.2062361	0.2367585	0.2217172	0.2229257	0.252989	0.275	0.2503563	0.3028536	0.3259581	0.279671	0.2607414	0.2484704	0.2113032	0.1853642	0.1470733	0.1220187	0.0858369	0.0645617	0.0534813	0.0398975	0.0232822	0.0333519	0.0270812	0.0238095	
heron sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.534E-4	0.0	0.0	0.0015	0.0	0.0	3.96E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
American White Pelican	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.513E-4	0.0026756	0.0015	0.0015	4.561E-4	0.0021084	5.999E-4	0.0015	0.0022355	0.0015	4.105E-4	0.0035676	0.0013363	0.0042373	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0063945	0.0093329	0.0023844	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Brown Pelican	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0E-4	0.0034722	0.0029806	0.0	4.105E-4	0.0015	0.0191537	0.0015	0.0	0.0	0.0	0.0	0.0	9.205E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
